name,email,FollowerCount
BruceWillis,Bruce_Willis@bws.com,20
DavidBeckham,David_Beckham@uks.net,40
JohnTravolta,John_Travolta@jtv.com,83
JuliaRoberts,Julia_Roberts_@rbt.com,81
JustinTimberlake,Justin_Timberlake@tlk.com,21
MichaelPhelps,Michael_Phelps@uss.net,26
MorganFreeman,Morgan_Freeman@morgan.com,83
NicholasCage,Nicholas_Cage@ncg.com,41
RafaelNadal,Rafael_Nadal@sta.net,52
RogerFederer,Roger_Federer@swta.net,1
SandraBullock,Sandra_Bullock@blk.com,34
SerenaWilliams,Serena_Williams@usta.net,1
TomHanks,Tom_Hanks@thk.com,12
VenusWilliams,Venus_Williams@usta.net,71
